2026-06-03 00:15:54.586 | ERROR    | MaiAgent        | valley_agent.py:69 -  agent run 失败: 'ValleyAgent' object has no attribute 'agent'
2026-06-03 00:15:54.586 | ERROR    | MaiAgent        | valley_agent.py:70 -  query: 请介绍一下你自己。
2026-06-03 00:16:51.500 | ERROR    | MaiAgent        | valley_agent.py:50 -  初始化失败: Initializing ChatGoogleGenerativeAI requires the langchain-google-genai package. Please install it with `pip install langchain-google-genai`
2026-06-03 00:16:58.445 | ERROR    | MaiAgent        | valley_agent.py:50 -  初始化失败: Initializing ChatGoogleGenerativeAI requires the langchain-google-genai package. Please install it with `pip install langchain-google-genai`
2026-06-03 00:18:09.278 | ERROR    | MaiAgent        | valley_agent.py:69 -  agent run 失败: Checkpointer requires one or more of the following 'configurable' keys: thread_id, checkpoint_ns, checkpoint_id
2026-06-03 00:18:09.278 | ERROR    | MaiAgent        | valley_agent.py:70 -  query: 请介绍一下你自己。
2026-06-03 00:18:58.226 | ERROR    | MaiAgent        | valley_agent.py:71 -  agent run 失败: Checkpointer requires one or more of the following 'configurable' keys: thread_id, checkpoint_ns, checkpoint_id
2026-06-03 00:18:58.226 | ERROR    | MaiAgent        | valley_agent.py:72 -  query: 请介绍一下你自己。
2026-06-03 00:26:42.902 | ERROR    | MaiAgent        | valley_agent.py:74 -  agent run 失败: 'text'
2026-06-03 00:26:42.903 | ERROR    | MaiAgent        | valley_agent.py:75 -  query: 请介绍一下你自己。
2026-06-03 00:28:31.929 | ERROR    | MaiAgent        | valley_agent.py:74 -  agent run 失败: 'AIMessage' object is not subscriptable
2026-06-03 00:28:31.929 | ERROR    | MaiAgent        | valley_agent.py:75 -  query: 请介绍一下你自己。
